name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Algiers,Algeria",2021-01-02T05:00:00,44.6,40.2,39.2,81.22,0,0,,,,,8.1,280,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T06:00:00,44.6,41.4,39.2,81.22,0,0,,,,,5.8,270,,50,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T07:00:00,47.8,46.7,40.8,76.59,0,0,,,4.33,,3.5,185,1008.8,59.8,6.2,0,,0,,Partially cloudy,partly-cloudy-night,"60390099999,60415099999,9V8207,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-02T08:00:00,41,37.1,37.4,86.9,0,0,,,,,5.8,280,,27.7,6.2,40.2,0.1,0,,Partially cloudy,partly-cloudy-night,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T09:00:00,44.6,40.2,39.2,81.22,0,0,,,,,8.1,250,,50,6.2,160.3,0.6,2,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T10:00:00,49,45.9,41.3,74.63,0,0,,,,,7.1,191,1009.8,33.2,6.2,294.5,1.1,3,,Partially cloudy,partly-cloudy-day,"60373099999,60381099999,60369099999,60372099999,60394099999,60374099999"
"Algiers,Algeria",2021-01-02T11:00:00,52.2,52.2,39.6,61.98,0,0,,,,,10.4,277,1026.2,51,6.4,385.8,1.4,4,,Partially cloudy,partly-cloudy-day,"60390099999,9V8207,DAAG"
"Algiers,Algeria",2021-01-02T12:00:00,53.6,53.6,41,62.25,0,0,,,,,16.1,280,,50,6.2,393.8,1.4,4,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
"Algiers,Algeria",2021-01-02T13:00:00,51.8,51.8,41.1,66.7,0,0,,,,,6.6,225,1010.5,80.1,6.2,348.9,1.3,3,,Partially cloudy,partly-cloudy-day,"60390099999,60415099999,60437099999,60369099999,DAAG"
"Algiers,Algeria",2021-01-02T14:00:00,46.4,39,42.8,87.19,0,0,,,,,19.7,300,,89.1,5,303.5,1.1,3,,Partially cloudy,partly-cloudy-day,"60390099999,DAAG"
